Player,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex Abrines,68,6,1055,134,341,94,247,40,94,44,49,18,68,86,40,37,8,33,114,406
Quincy Acy,76,2,1116,140,340,74,180,66,160,90,120,40,190,230,36,28,30,42,134,444
Steven Adams,80,80,2389,374,655,0,1,374,654,157,257,282,333,615,86,88,78,146,195,905
Arron Afflalo,61,45,1580,185,420,62,151,123,269,83,93,9,116,125,78,21,7,42,104,515
Alexis Ajinca,39,15,584,89,178,0,4,89,174,29,40,46,131,177,12,20,22,31,77,207
Cole Aldrich,62,0,531,45,86,0,0,45,86,15,22,51,107,158,25,25,23,17,85,105
LaMarcus Aldridge,72,72,2335,500,1049,23,56,477,993,220,271,174,350,524,139,46,89,98,158,1243
Lavoy Allen,61,5,871,77,168,0,1,77,167,23,33,105,115,220,57,18,24,29,78,177
Tony Allen,71,66,1914,274,595,15,54,259,541,80,130,166,225,391,98,115,29,100,178,643
Al-Farouq Aminu,61,25,1773,183,466,70,212,113,254,96,136,77,374,451,99,60,44,94,102,532
Chris Andersen,12,0,114,9,22,0,3,9,19,10,14,9,22,31,5,5,7,5,20,28
Alan Anderson,30,0,308,30,80,14,44,16,36,12,16,3,21,24,11,3,0,7,35,86
Kyle Anderson,72,14,1020,93,209,15,40,78,169,45,57,33,175,208,91,51,26,39,63,246
Ryan Anderson,72,72,2116,323,773,204,506,119,267,129,150,112,218,330,68,32,14,55,142,979
Giannis Antetokounmpo,80,80,2845,656,1259,49,180,607,1079,471,612,142,558,700,434,131,151,234,246,1832
Carmelo Anthony,74,74,2538,602,1389,151,421,451,968,304,365,62,374,436,213,60,34,153,198,1659
Joel Anthony,19,0,122,10,16,0,0,10,16,5,8,8,23,31,3,2,6,4,11,25
Trevor Ariza,80,80,2773,326,798,191,555,135,243,93,126,54,405,459,175,147,20,74,133,936
Darrell Arthur,41,7,639,95,215,53,117,42,98,19,22,25,87,112,42,19,21,36,76,262
Omer Asik,31,19,482,31,65,0,0,31,65,23,39,48,115,163,15,5,10,14,51,85
D.J. Augustin,78,20,1538,195,517,95,274,100,243,131,161,15,102,117,209,31,1,90,101,616
Luke Babbitt,68,55,1065,113,281,87,210,26,71,11,15,13,129,142,36,21,11,25,118,324
Ron Baker,52,13,857,82,217,23,86,59,131,28,43,12,86,98,107,34,8,56,74,215
Wade Baldwin,33,1,405,36,115,3,22,33,93,31,37,11,35,46,61,18,7,40,40,106
Leandro Barbosa,67,0,963,172,392,35,98,137,294,40,45,15,89,104,81,31,8,48,82,419
J.J. Barea,35,6,771,142,343,53,148,89,195,44,51,9,75,84,193,14,1,63,30,381
Harrison Barnes,79,79,2803,599,1280,78,222,521,1058,242,281,94,303,397,117,66,15,102,128,1518
Will Barton,60,19,1705,295,666,87,235,208,431,143,190,58,200,258,206,48,28,97,110,820
Brandon Bass,52,0,577,107,186,1,3,106,183,77,88,43,86,129,21,14,11,29,45,292
Nicolas Batum,77,77,2617,393,975,135,405,258,570,243,284,46,435,481,455,86,29,194,109,1164
Jerryd Bayless,3,1,71,11,32,2,5,9,27,9,10,3,9,12,13,0,0,9,4,33
Aron Baynes,75,2,1163,143,279,0,0,143,279,79,94,111,222,333,32,17,39,50,166,365
Kent Bazemore,73,64,1963,295,721,92,266,203,455,119,168,45,186,231,177,91,52,125,165,801
Bradley Beal,77,77,2684,637,1322,223,552,414,770,282,342,53,186,239,267,83,21,157,169,1779
Malik Beasley,22,1,165,33,73,9,28,24,45,8,10,5,12,17,11,7,0,8,10,83
Michael Beasley,56,6,935,216,406,18,43,198,363,78,105,40,153,193,53,28,27,66,92,528
Marco Belinelli,74,0,1778,264,615,102,283,162,332,150,168,14,164,178,147,44,9,70,90,780
